grade,temp,time,Pulse_vel
M20,At Room Temo.,0h,4350
M20,At Room Temo.,4h,
M20,At Room Temo.,8h,
M20,At Room Temo.,12h,
M20,200C,0h,
M20,200C,4h,4151
M20,200C,8h,4078
M20,200C,12h,4002
M20,400C,0h,
M20,400C,4h,3602
M20,400C,8h,3520
M20,400C,12h,3400
M20,600C,0h,
M20,600C,4h,3000
M20,600C,8h,2900
M20,600C,12h,2700
M20/GF,At Room Temo.,0h,4360
M20/GF,At Room Temo.,4h,
M20/GF,At Room Temo.,8h,
M20/GF,At Room Temo.,12h,
M20/GF,200C,0h,
M20/GF,200C,4h,4152
M20/GF,200C,8h,4080
M20/GF,200C,12h,4006
M20/GF,400C,0h,
M20/GF,400C,4h,3612
M20/GF,400C,8h,3548
M20/GF,400C,12h,3415
M20/GF,600C,0h,
M20/GF,600C,4h,3015
M20/GF,600C,8h,2915
M20/GF,600C,12h,2720
M30,At Room Temo.,0h,4380
M30,At Room Temo.,4h,
M30,At Room Temo.,8h,
M30,At Room Temo.,12h,
M30,200C,0h,
M30,200C,4h,4155
M30,200C,8h,4082
M30,200C,12h,4010
M30,400C,0h,
M30,400C,4h,3610
M30,400C,8h,3540
M30,400C,12h,3415
M30,600C,0h,
M30,600C,4h,3010
M30,600C,8h,2910
M30,600C,12h,2725
M30/GF,At Room Temo.,0h,4390
M30/GF,At Room Temo.,4h,
M30/GF,At Room Temo.,8h,
M30/GF,At Room Temo.,12h,
M30/GF,200C,0h,
M30/GF,200C,4h,4157
M30/GF,200C,8h,4084
M30/GF,200C,12h,4016
M30/GF,400C,0h,
M30/GF,400C,4h,3636
M30/GF,400C,8h,3550
M30/GF,400C,12h,3420
M30/GF,600C,0h,
M30/GF,600C,4h,3035
M30/GF,600C,8h,2938
M30/GF,600C,12h,2740
M40,At Room Temo.,0h,4440
M40,At Room Temo.,4h,
M40,At Room Temo.,8h,
M40,At Room Temo.,12h,
M40,200C,0h,
M40,200C,4h,4160
M40,200C,8h,4085
M40,200C,12h,4008
M40,400C,0h,
M40,400C,4h,3625
M40,400C,8h,3552
M40,400C,12h,3410
M40,600C,0h,
M40,600C,4h,3010
M40,600C,8h,2907
M40,600C,12h,2740
M40/GF,At Room Temo.,0h,4470
M40/GF,At Room Temo.,4h,
M40/GF,At Room Temo.,8h,
M40/GF,At Room Temo.,12h,
M40/GF,200C,0h,
M40/GF,200C,4h,4164
M40/GF,200C,8h,4088
M40/GF,200C,12h,4012
M40/GF,400C,0h,
M40/GF,400C,4h,3640
M40/GF,400C,8h,3555
M40/GF,400C,12h,3420
M40/GF,600C,0h,
M40/GF,600C,4h,3050
M40/GF,600C,8h,2938
M40/GF,600C,12h,2780
M50,At Room Temo.,0h,4450
M50,At Room Temo.,4h,
M50,At Room Temo.,8h,
M50,At Room Temo.,12h,
M50,200C,0h,
M50,200C,4h,4162
M50,200C,8h,4088
M50,200C,12h,4010
M50,400C,0h,
M50,400C,4h,3628
M50,400C,8h,3555
M50,400C,12h,3415
M50,600C,0h,
M50,600C,4h,3015
M50,600C,8h,2909
M50,600C,12h,2745
M50/GF,At Room Temo.,0h,4480
M50/GF,At Room Temo.,4h,
M50/GF,At Room Temo.,8h,
M50/GF,At Room Temo.,12h,
M50/GF,200C,0h,
M50/GF,200C,4h,4168
M50/GF,200C,8h,4090
M50/GF,200C,12h,4015
M50/GF,400C,0h,
M50/GF,400C,4h,3643
M50/GF,400C,8h,3558
M50/GF,400C,12h,3424
M50/GF,600C,0h,
M50/GF,600C,4h,3055
M50/GF,600C,8h,2940
M50/GF,600C,12h,2758
